帖子链接,标题,正文,标签,发布时间,发布地点,点赞数,收藏数,评论数
https://www.xiaohongshu.com/search_result/693683e2000000001e007357?xsec_token=ABkupRkjzD3a-DVEzheUHle0K-nuj7OiFA2zay9YJUeyI=&xsec_source=,0??7男大 出差打卡 广州 沙面星巴克,,"星巴克, 我在星巴克学魔法",5小时前,广东,6,2,1
https://www.xiaohongshu.com/search_result/6935ac6c000000000d00c54e?xsec_token=ABN3Wtdtp-3yilPd85cStJl_POXzCw2oaOGLaYVnx9nQk=&xsec_source=,猜猜我在广州沙面发现了什么,今天从中山赶到沙面就为了打卡 广州沙面星巴克霍格沃茨主题旗舰店 剧透一点点给大家?? 很还原原著中四个学院的休息室！！！ 作为一个喜欢哈利波特的哈迷真的很震撼 谁不想喝着喜欢的咖啡坐在自己学院里发呆呢 星巴克简直就是细节怪！！！100%还原 这一次打卡让我震撼?? 12月8日 哈迷们 广州沙面不见不散,"哈利波特, 我在星巴克学魔法, 星巴克",编辑于 21小时前,广东,13,2,5
https://www.xiaohongshu.com/search_result/68af2b3e000000001b0338ac?xsec_token=ABKXvQNCg9bQaIVLSQ5z_htx5DMcRiBMS8wdgm_UFV3V0=&xsec_source=,我愿称之为广州最漂亮星巴克,这家星巴克的环境真的绝了！建筑风格、音乐审美、氛围感统统在线，无敌好！ 之前在小红书刷到好多二楼的图，落地窗外是一排绿树室内是暖暖的黄光，真的像在森林小木屋里喝咖啡～不过二楼真的太火，经常没位置??而且暖光氛围太舒服，真的会忍不住想睡觉哈哈～ 这次坐了三楼，完全是不一样的体验！空间更开阔明亮，窗边的位置透着微微冷调光，特别适合跟朋友聊天闲坐，非常放松。 重点来了：一定要待到下午六点左右！天空逐渐变成温柔的蓝调时刻，店内的灯光和窗外的暮色交汇，瞬间浪漫值拉满? 工作日去人不是很多，不知道周末怎么样。真的好想好想休息时间都在这里放松一下啊啊啊啊，离我有点太远了 ??地点：颐德大厦（纪念堂D1口出来。有点距离需要导航，非常容易找到，没有弯弯绕绕）,"氛围咖啡店, 值得一去的咖啡店, 有格调的咖啡店, 星巴克, 探店",编辑于 08-28,,23,18,5
https://www.xiaohongshu.com/search_result/687a65460000000013011aab?xsec_token=ABexAroNH7DAz6pKa1VdNGC6Ey7Sj_k3WPEaKNoxYQ5O0=&xsec_source=,不约会不逛街，星巴克坐着也很惬意???,"星巴克坐一下午也算是正经生活吧 空调房、冰美式、Wi-Fi，还能拍照?? 别的不图，就图个安静地坐一会～ 	 最近实在太热了，即便出门都变成了找个地方静静吹空调，在星巴克拍了几张，意外很出片！今天一身黑，有点「在咖啡馆工作的自由职业者」那味了（笑） 	 特别出镜： 新带的labubu也一起出镜了哈哈哈，首次营业！ 	 ?场景推荐： ?	落地窗边自然光很好，随手拍都有点杂志感 ?	傍晚人少，很适合拍那种“不说话的情绪照” ?	店里的暖色调灯光也太适合拍黑色穿搭了吧！","今天干点啥, 今天干点啥, 享受休闲时刻, 喜欢喝咖啡, 休闲一刻放空自己, 来一杯咖啡, 闲暇时光的选择, 享受松弛时光, 休闲惬意的一天, 一起喝杯咖啡吧",编辑于 07-18,,11,3,2
https://www.xiaohongshu.com/search_result/684911d7000000000303da21?xsec_token=AB1_Ec0p_mnRbEdDIZayikBscoaVA1_pPy57rtswGFkgI=&xsec_source=,Day41 | 星巴克门店的设计确实很不错,"星巴克新港店以其独特的工业风设计和宽敞的空间，成为了广州海珠区的一个热门打卡地点。同时店内环境非常舒适，非常适合学习、办公和打卡。 	 ?? 基本信息 1??地址详情：广州市海珠区新港西路82号物业大门建筑第二三层。 2??营业时间：07:00-21:00。 3??交通信息：距离地铁八号线中大站C1出口步行大概5分钟。 	 ?? 装修风格 1??风格：工业风装修，空间很宽敞，挑高设计搭配落地玻璃窗，采光超棒。靠窗位能看到园区内创意涂鸦和来往的文艺青年，还适合拍照打卡。 2??内饰：内饰的抽象画又增加了艺术气息，坐临窗位置能看到外面车水马龙，但丝毫不觉浮躁，反而能安静思考人生。 3??周边配套完善：附近就是轻纺交易园，常有设计师和面料商来洽谈，偶尔能听到有趣的行业灵感。楼下就有便利店和快餐店，待一天完全没问题。 	 ??? 产品 餐食供应：主要提供咖啡、饮料和蛋糕等。 	 ?? 座位与设施 1??座位：店内座位很多，有靠窗座位和普通座位等。 2??插座：店内配有插座，方便顾客充电。 3??厕所：店外商场内有厕所，方便顾客使用。","咖啡地铁店, 咖啡与生活, 藏在写字楼里的咖啡, 转角咖啡馆, 毕生所求品咖啡自由, 咖啡设计, 咖啡与艺术, 咖啡店环境, 换个城市喝咖啡, 工业风设计装修",6月11日,,14,8,2
https://www.xiaohongshu.com/search_result/686405090000000012030d92?xsec_token=ABXNegBQbiAkOkD_KxtrBSvktJYiMdUkr9yxEi9xQuXMk=&xsec_source=,深大星巴克,今天去深大培训，忙里偷闲在会场旁边的星巴克买杯咖啡，这景让人看着好想坐下发呆啊。,,7月1日,,2,收藏,0
https://www.xiaohongshu.com/search_result/692d597c000000001e00c3f1?xsec_token=ABBQ_7hRFKQAe23fxUq38FK6FrloYhBqQkJnVCsAOcwoQ=&xsec_source=,??????,南沙星子有隐藏款 粉粉的星冰乐 和歌词贴 广州,"五月天, 五月天广州, 星巴克, 南沙, 这才是联名的正确打开方式",编辑于 7天前,广东,2,收藏,6
https://www.xiaohongshu.com/search_result/684e6244000000002101959a?xsec_token=AB4gStIqOcxhjP_1-GeR8fhNoAK_QxRi-QpqmDRtuFeP8=&xsec_source=,广州适合自习的咖啡店,在广州到处找不要钱环境又好的自习场所，又让我找到一家 星巴克(广州东风中路颐德大厦店) 东风中路362号首层103铺和二层204铺号 营业时间：周一至周五6：45-19：00，周六7：30-18：30，周日8：00-18：00 三层临街落地窗，入眼全是翠绿，很养眼，心情很舒畅，像今天雨天还能临窗赏雨，别有一番意境 空间很大很开阔，不会有压抑和拥挤感，一二三楼都有好长条桌，看书、用电脑都比小圆桌舒服多了 二楼有洗手间，很方便。他家的椅子很舒服，是我感受过星巴克里最舒服的椅子，个人觉得比烈士陵园地铁站旁边星巴克的椅子要舒服很多。桌子很有质感，整个环境的总体舒适度比图书馆要强不少 氛围很好，背景音乐不吵闹，也很好听，周末人不算多，早上来还能挑位置，中午一点之后人就开始多了 留心营业时间哈，打烊比较早，记得做好时间规划 ??? ??? ??? ??? ??? ??? ??? ??@本地薯? ?@城市情报官? ?,"旅游万粉扶持计划, 广州探店, 我的咖啡日记, 星巴克, 广州自习, 可以学习工作的咖啡店, 广州咖啡",编辑于 06-15,,40,18,0
https://www.xiaohongshu.com/search_result/66be05a5000000001e01fd1d?xsec_token=ABBI17KiOPiXTqEgZhsPaEuOpl9vqxRO-5ZBv6swgg1H8=&xsec_source=,广州??｜一家很特别的星巴克,"偶然搜到网上的安利，去了两次爱到不行！照片都是傍晚拍的。 ?? 整个店总共三层，二楼和三楼是最舒服的，各有特色。三楼有特别多大的落地窗，坐在里面看着外面树枝沙沙吹过真的好舒服！（P1-P5） ?? 二楼空间小一点，但是很适合办公。卫生间也在二楼，沙发下都有可以充电的地方??（P6-P8） ?? 一楼和门口也是很漂亮（P9-P11） 	 具体位置??：星巴克（东风中路颐德大厦店） 	 便捷交通??：2号线纪念堂站D1口步行980米（大约14分钟）或 1号线农讲所D出口步行851米（大约14分钟） 	 打卡","广州探店, 星巴克, 咖啡店, 广州咖啡店, 探店, COTD咖啡探店, 下午茶, 吃喝玩乐, 探店打卡",编辑于 2024-08-18,,565,429,25
https://www.xiaohongshu.com/search_result/66851665000000001e011dc1?xsec_token=ABMcy2xk_OHsG2Bo2AbKr652w5xUYstzH2HZ-WF3EHeNM=&xsec_source=,深大粤海校区,回深大去星巴克会朋友，给我一顿好找，原来在校友广场背面标高。本来觉得和年轻人没有代沟，结果聊完说再见有人喊我阿姨代沟，必须的?(???????)? 我比年轻人也就大了一个他的岁数多一点吧,,2024/7/3,,6,1,4
