帖子链接,标题,正文,标签,发布时间,发布地点,点赞数,收藏数,评论数
https://www.xiaohongshu.com/search_result/68b99c87000000001b021230?xsec_token=AB8ZZ0uoIzoaa-a3yy3yqP758HNtR48h_C0VSceJAhePw=&xsec_source=,无标题,星巴克怎么点最便宜！想去星巴克自习,星巴克,9月4日,,1666,1045,185
https://www.xiaohongshu.com/search_result/68fca10f0000000005039f72?xsec_token=ABIOTJfneL7oAHsGCGxrbIOJ3PggqPqaunrxKkttzZ74k=&xsec_source=,星巴克怎么突然降价了？,13.9，14.9好便宜立马囤了两张,,10月25日,,175,47,219
https://www.xiaohongshu.com/search_result/6822de2d00000000230132f0?xsec_token=ABPZjSgs121HQ1wbu2WTBvTdHcWRwX6_buNA6Ku68EerY=&xsec_source=,星巴克隐藏折扣被我扒出来了！5折下单,"星巴克隐藏折扣被我扒出来了！5折点单全攻略，一杯立省20元！ 	 --- 	 姐妹们！星巴克重度爱好者今天必须和你们分享一个惊天秘密——闲鱼代点单直接打5-6折！原价45元的超大杯焦糖玛奇朵，实测25元到手！但代点单的水太深了，我踩过雷也省过钱，今天手把手教你们安全上车，建议收藏?? 	 --- 一、闲鱼代点单5折攻略（保姆级操作） 1?? 代点原理 部分卖家通过员工折扣、企业账号福利或平台隐藏优惠券（如支付宝满减券、信用卡积分兑换）获取低价权益，以5-6折帮买家下单，买家凭取餐码到店自提即可。 	 2?? 正确操作流程 ? 筛选卖家：闲鱼搜“星巴克代下单”→筛选“信用极好”卖家，查看历史评价（重点看是否有取餐失败纠纷）。 ? 确认门店与饮品：提前沟通所需饮品、规格（如超大杯）、取餐门店（部分机场/火车站门店不支持代点）。 ? 支付与核销：要求卖家发送支付宝/星巴克官方小程序的代付链接（??必须核对是否为官方页面），付款后获取取餐码→到店出示核销。  人类对闲??的开发，真的不足1%????????????","重度咖啡爱好者, 咖啡控, 爱上咖啡的每一天, 吃喝玩乐先上闲鱼",5月13日,,157,85,0
https://www.xiaohongshu.com/search_result/6902f17a000000000700a337?xsec_token=ABd3fIaonoyBeTaYNbx_oXG2A7wkg99lxmafbZJOVovFg=&xsec_source=,星巴克自习｜十五元一杯攻略,"?代下单、网上买盒茶天天来泡。 不能积星，并且长期会有点尴尬 ? 68星礼包，一点都不划算 	 ??无配送费首选 ?吃饱了撑/某宝慢购：外卖只要十几块一杯，不要配送费时很划算！单点一杯很合适。 ?丑东西：学生12元无门槛、黑钻100-30，最高记录90元拿下6杯红茶拿铁（真的很爱！） ?京西：经常不要配送费，又送大额优惠券，尤其点蛋糕是最划算的，13块拿下了巧克力蛋糕。 	 ??到店点餐首选 ?小助手+星礼卡：小助手经常发七折券，星礼卡九折，叠加下来就是六折一杯！如果自带杯还能减4元，又能额外加25%的星。 ———————————————————————— 因为觉得图书馆很压抑，跑了好多家奶茶店，最后 在星巴克自习了两个月。 有wifi、有插座、有白噪音、氛围好、店铺大适合长期占座。商场里很少单人餐，星巴克烘培当晚餐感觉又便宜又健康。 店员小姐姐真的特别特别好，成为常客后解锁了很多隐藏福利，包括不限于： 1、插座位置没了的时候，看我一直找位置，店员姐姐默默帮我和客人协调换座 2、博饼的时候每次都摇不到奖，偷偷塞了我很多礼品，我真的很感动 3、外卖凑优惠买了一大堆咖啡糕点，都可以寄存在店里，慢慢吃 4、新品提前试吃！ 5、观察人类相亲 羊毛","在咖啡店学习, 没事就泡图书馆, 可以学习工作的咖啡店, 星巴克, 星巴克羊毛",编辑于 11-01,,2297,1105,168
https://www.xiaohongshu.com/search_result/68c3fde8000000001c03da4d?xsec_token=AB0h-SLNvI8DwU6NV5gynuaOQYHHY0hYzonLgVIgzLXXY=&xsec_source=,大学生抠搜生活之6元星巴克,首先需要学生认证，借别人的也行^_^，在学生福利中心领取?15元券，然后注册一个星巴克的免费会员，会送一张6元的券，最后选你要喝的就好啦\(^o^)/,,编辑于 10-05,,232,95,16
https://www.xiaohongshu.com/search_result/6909bad60000000004000605?xsec_token=ABzn8lsl4FEzae-DJ4my4QPkgbsvK0fiS-ej09MqNRL3U=&xsec_source=,星巴克 9.99 一杯指日可待,刚看到资讯～～星巴克是????的啦，控股60%，就好奇它的价格，我爱喝都已破15，还免配送费，以前配送费多少米还记得吗？我等着9.9，或者更低嚯星巴克。,"星巴克, 低价咖啡, 我爱喝咖啡, 工作日的续命咖啡, 牛马累了会喝杯咖啡接着干, 今天你喝咖啡了吗, 咖啡续命, 咖啡测评",11月4日,,683,113,317
https://www.xiaohongshu.com/search_result/6815a51e0000000021005a2d?xsec_token=ABnHxvIb00PRYYshIeXrSrn3LUXD3JmCvwO9j11kur6bw=&xsec_source=,为什么星巴克杯子卖那么贵？真的有人买,,,5月3日,,71,19,241
https://www.xiaohongshu.com/search_result/689468690000000023024d2e?xsec_token=ABRFKnS_wPP_Ln3_eB9XkzPCwNECZLWlosiwWQ7jyn2WE=&xsec_source=,星巴克拒绝参加外卖大战,还以为能喝到十几块的星巴克，试着点一杯，等了好久，以为快要配送了，打开手机一看，原来被取消了，好啊，星巴克你真是高高在上！又为我这个穷鬼省了12.5！,"秋天的第一杯奶茶, 星巴克",8月7日,,268,26,84
https://www.xiaohongshu.com/search_result/674853530000000007031b41?xsec_token=AB_jNZnkHcWF7gAPnrawpgpLrXWSrS6-x4-P5lvyDKZmo=&xsec_source=,星巴克怎么喝最便宜,"最近星巴克是不是也坐不住了，拼命发券，喜欢喝星巴克的朋友们可以可以留意下，如果有更便宜的渠道，欢迎大家评论区交流～ 	 我的优惠方式： ? 加下星巴克的企微助手，基本每天都给你发券，没事点一点，领到微信卡包； 	 ? 星巴克有些券包平时留意下，有些在小程序自动推送给你领，你也可以看下你喝的频率，买一些券包； 	 ? 平时积累的星星，也是可以用来抵扣的； 	 ? 重点来了：领完这些券后，买单的时候，记得用他的试试优惠推荐方案，会自动给你计算最优惠的使用方法。然后微信买单，还可以跟微信卡包的券叠加使用，我最优惠的时候，试过11块买了两杯； 	 ? 一般企微发的券有20-10，30-10，60-5，79-8等等，不同的阶梯券，大家可以领了再说，平时也可以跟同事朋友凑单买的。 	 日常爱好者","咖啡, 星巴克, 薅羊毛, 咖啡日常, 免费咖啡, 咖啡爱好者, 星冰乐, 享受生活, 小资生活, 优惠券",2024/11/28,,992,318,49
https://www.xiaohongshu.com/search_result/672e25d90000000019017c66?xsec_token=ABBWVVh6emfRLYb8-0eytlQTXCmTMiq2zn0CLR4eV0IXA=&xsec_source=,?????,冬天当然要用可爱的杯子喝热可可啦！ 好看的杯子简直就是提升冬日幸福度的关键~ 看到星巴克的派对萌宠系列马克杯 第一眼就觉得这一定是我的杯子! 雪貂马戏团这个想法太有创意了~杯身也是超级可爱 还打算买一个送给朋友，在冬天一起多喝热水 话题：,"星巴克萌宠, 星巴克新品, 高颜值杯子, 我就是个杯子控",2024/11/8,,2023,216,34
