搜索词,标题,搜索结果链接,作者,作者主页,笔记发布时间,点赞数,帖子链接,封面链接地址
瑞幸 情绪,又是为情绪买单的一天,https://www.xiaohongshu.com/search_result?keyword=%25E7%2591%259E%25E5%25B9%25B8%2520%25E6%2583%2585%25E7%25BB%25AA&source=unknown,呐呐呐,https://www.xiaohongshu.com/user/profile/5b7cb08cbb095a0001265b4b?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=ABK-bFyz0Xd0CJDcR0G2Zcw5m1NmSP3O_et3xGgmJalJs=&xsec_source=pc_search,6月16日,3,https://www.xiaohongshu.com/search_result/684fdadd000000001101d67f?xsec_token=AB3gCASVWwJ0Tz_xs9Zryz7GcNTaINEo8K8-XWOL3nQ5U=&xsec_source=,https://sns-webpic-qc.xhscdn.com/202512071925/71fcf2572c5dca0e984a68e1b9a32f18/1040g2sg31ipljd4k1ce04ahslno8omqbf932le8!nc_n_webp_mw_1
瑞幸 情绪,这个杯子我真的好喜欢！🐱,https://www.xiaohongshu.com/search_result?keyword=%25E7%2591%259E%25E5%25B9%25B8%2520%25E6%2583%2585%25E7%25BB%25AA&source=unknown,Rick🤣,https://www.xiaohongshu.com/user/profile/6673bb8f0000000007004358?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=AB5Y9MgxKvnDvcKSjdbF0JcffrfvhTujZmMkiDUuYoC5I=&xsec_source=pc_search,7月21日,3,https://www.xiaohongshu.com/search_result/687dfcc4000000001c0333b7?xsec_token=ABjHhy4sNXiKGoj5kEtg_LhToX_aEpdajxClia8DfTiWQ=&xsec_source=,https://sns-webpic-qc.xhscdn.com/202512071925/bbc8318a9903c240d3bf6a1c3a07dbd3/notes_pre_post/1040g3k831k6nai5k32d05pjjne7hogqoplief0o!nc_n_webp_mw_1
瑞幸 情绪,瑞幸咖啡退款,https://www.xiaohongshu.com/search_result?keyword=%25E7%2591%259E%25E5%25B9%25B8%2520%25E6%2583%2585%25E7%25BB%25AA&source=unknown,x啊~,https://www.xiaohongshu.com/user/profile/5db4797a000000000100585e?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=ABy94CktqUmxfE7ar-zJBTQPGt45faLLO7Jsy_H42kM0Q=&xsec_source=pc_search,9月13日,赞,https://www.xiaohongshu.com/search_result/68c4c851000000001d03688c?xsec_token=AB6GZrlE1AnwpS5lopboX6p3_hC2LzeoKG9AK0_Tb1p3I=&xsec_source=,https://sns-webpic-qc.xhscdn.com/202512071925/293c05b2876c9fe1c41d23a54a59101d/1040g00831mbr3hcg5i0g5ndkf5t08m2u2mprq50!nc_n_webp_mw_1
瑞幸 情绪,前瑞幸店长情绪管理，我用这3步扛过情绪崩溃,https://www.xiaohongshu.com/search_result?keyword=%25E7%2591%259E%25E5%25B9%25B8%2520%25E6%2583%2585%25E7%25BB%25AA&source=unknown,二十一点一,https://www.xiaohongshu.com/user/profile/5afc0afa11be105fbe1f0834?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=ABTznJz-PlFlizRi2e1Ck2n6tN-VsHHCj8ca07JGQdh9k=&xsec_source=pc_search,10月23日,198,https://www.xiaohongshu.com/search_result/68eb9b2b0000000007015f64?xsec_token=ABP2vgLgTn-OXSVkQ1rkcasXOL13PUo0QucJz9xdWY54w=&xsec_source=,https://sns-webpic-qc.xhscdn.com/202512071925/e11cd0fa27be8faf5bd5b96db7cf0b9c/1040g00831nhoha98kq004a5ciu5fk21kqkbehho!nc_n_webp_mw_1
瑞幸 情绪,说多了都是泪,https://www.xiaohongshu.com/search_result?keyword=%25E7%2591%259E%25E5%25B9%25B8%2520%25E6%2583%2585%25E7%25BB%25AA&source=unknown,汇和国际小瑞瑞,https://www.xiaohongshu.com/user/profile/66c2b066000000001d021b64?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=ABxvfQaiY8NKb_hjUseAHMqqt3PZ56ej7Bi7_k4zL9QUo=&xsec_source=pc_search,7月14日,306,https://www.xiaohongshu.com/search_result/6874c370000000002203eec2?xsec_token=ABrwy3s04KB3_6S9VCJQTnlsDJHMI4oCuzPnc3-4WdV2o=&xsec_source=,https://sns-webpic-qc.xhscdn.com/202512071925/bfd6b8c454eaa42a7272671ec823566a/1040g00831jtn2s5uj46g5pm2m1j7c6r4pj4n2jo!nc_n_webp_mw_1
瑞幸 情绪,放空的心，是最好的礼物,https://www.xiaohongshu.com/search_result?keyword=%25E7%2591%259E%25E5%25B9%25B8%2520%25E6%2583%2585%25E7%25BB%25AA&source=unknown,美美,https://www.xiaohongshu.com/user/profile/5c1f43870000000005023722?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=ABnK0DZyh58dv_KmuainCpC2aS6MY2PjAXhbHh05K2vH8=&xsec_source=pc_search,2023/12/26,2,https://www.xiaohongshu.com/search_result/658ae717000000001101acc1?xsec_token=ABwa3b7b9agfrrDxN3mT1qgkNwcq8OSzLN1Cm6Tzo9rBI=&xsec_source=,https://sns-webpic-qc.xhscdn.com/202512071925/46efd2932ba75dd8a2ae64891b1ddcef/1040g2sg30t5aueop44005n0v8e3hcdp2jgulpf8!nc_n_webp_mw_1
瑞幸 情绪,碎碎念｜有被回应到！尊滴很开心！,https://www.xiaohongshu.com/search_result?keyword=%25E7%2591%259E%25E5%25B9%25B8%2520%25E6%2583%2585%25E7%25BB%25AA&source=unknown,樱桃🍒小圆子,https://www.xiaohongshu.com/user/profile/5e09f65a0000000001000477?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=ABZSlnlojrO3Uh8oGz_ciyi7EXrqoNflCl_bhuXUtLAJw=&xsec_source=pc_search,7月3日,2,https://www.xiaohongshu.com/search_result/6865e3e80000000017036857?xsec_token=ABX0iExZ7MSBNOwXioEkaK4a2zhc1AUmSLZTxL9uZkr38=&xsec_source=,https://sns-webpic-qc.xhscdn.com/202512071925/3d014eab5db5f28cd176fe73d50467ea/1040g00831jf63ngeiu705ng9upd0813nipvab3o!nc_n_webp_mw_1
瑞幸 情绪,记录第1.2天,https://www.xiaohongshu.com/search_result?keyword=%25E7%2591%259E%25E5%25B9%25B8%2520%25E6%2583%2585%25E7%25BB%25AA&source=unknown,请祝,https://www.xiaohongshu.com/user/profile/5cf5a67c00000000170356a9?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=ABtoXbV1pbi7sVST9C_XuHec4CJMrSLf6Mc29G2S7TSeo=&xsec_source=pc_search,11月12日,3,https://www.xiaohongshu.com/search_result/6913645e000000000301cb0a?xsec_token=ABER2ksmmHEaw4ZacG_xzNpw7dAkHtPdg_wexuFCEug3c=&xsec_source=,https://sns-webpic-qc.xhscdn.com/202512071925/104f94a9e189060a6f4ebb39f3b00cee/1040g00831oojvet0g66g5n7lkpu5ull9ml6a9q8!nc_n_webp_mw_1
瑞幸 情绪,,https://www.xiaohongshu.com/search_result?keyword=%25E7%2591%259E%25E5%25B9%25B8%2520%25E6%2583%2585%25E7%25BB%25AA&source=unknown,我爱吃怎么了,https://www.xiaohongshu.com/user/profile/5b5c9dbd11be1029da8004bb?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=AB3BZN8hBcHMiuN0zJtZ4cHL2vLb9Axx1ZN1K_iH-q-FM=&xsec_source=pc_search,6天前,9,https://www.xiaohongshu.com/search_result/692d3d10000000001b033834?xsec_token=ABOdQbz9-xhya0iQXPjlFQodAenNydmoS2twxZuEjH0oE=&xsec_source=,https://sns-webpic-qc.xhscdn.com/202512071925/7eb03235f2fcff965911e25b7871e4a4/note_pre_post_uhdr/1040g3r831phrq7g6ka6g4a7kdeerq15revbmalg!nc_n_webp_mw_1
瑞幸 情绪,买杯瑞幸，哄自己上班,https://www.xiaohongshu.com/search_result?keyword=%25E7%2591%259E%25E5%25B9%25B8%2520%25E6%2583%2585%25E7%25BB%25AA&source=unknown,喜风.,https://www.xiaohongshu.com/user/profile/60c047e5000000000100a4ea?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=ABnDDPabUNpSEbH_3pdbLHxs5O1L2QeF5OEQDCh2bUtBo=&xsec_source=pc_search,2024/9/22,2,https://www.xiaohongshu.com/search_result/66efd1780000000025031177?xsec_token=ABC5ZueKgewlUWkZHLfa6zyN9lYwATw6lT9pViigKsizU=&xsec_source=,https://sns-webpic-qc.xhscdn.com/202512071925/0c022227d0f70480c3c958c94fb0e6b7/1040g0083181si2fgk6005o608vig997ai5jelbo!nc_n_webp_mw_1
