词汇,频次
瑞幸,1311
咖啡,657
联名,240
打卡,127
疯狂动物城,115
新品,107
卡皮巴拉,106
周边,101
情绪,86
活动,82
主题,74
奶茶,68
上班,61
美式,52
巴西,51
喜欢,50
门店,49
深烘,46
品牌,46
好喝,46
广州,43
生活,42
一起,42
知道,40
一样,40
店员,39
免费,39
这次,37
觉得,37
日常,37
鬼灭之刃,37
攻略,37
价值,36
还有,36
营销,36
结果,34
可能,34
苹果,33
冰箱,33
为什么,32
饮品,32
考试,32
大家,31
已经,31
拍照,31
这样,30
小时,30
之前,30
纸袋,30
每天,29
日记,29
看到,29
外卖,29
运营,29
免单,28
惊喜,27
这么,27
测评,27
方程,27
不要,26
一点,26
可爱,25
有点,25
好看,25
消费,25
一直,24
出来,24
桑巴,24
店长,24
情绪稳定,24
今日,24
发现,24
味道,24
贴纸,24
文案,23
打工,23
最后,23
答案,23
一种,23
续命,23
照片,23
金奖,23
羊毛,23
快乐,22
东西,22
挂件,22
探店,22
需要,21
起来,21
评论,21
开心,21
特别,20
顾客,20
不会,20
学习,20
勋章,20
工作,19
心情,19
种草,19
套餐,19
自由,19
别人,18
终于,18
咖啡豆,18
很多,18
产品,18
精神状态,18
咖啡店,18
治愈,18
超级,18
贝果,18
消费者,17
其实,17
看看,17
用户,17
分享,17
体验,17
9.9,17
记录,17
系列,17
无限,17
即享,17
一定,16
世界,16
一些,16
两杯,16
生椰拿铁,16
店里,16
这种,16
正确,16
有人,16
下午,16
好像,16
打烊,16
每日,16
黄油,16
幸运,16
联动,16
尼克,16
下单,16
兼职,16
厦门,16
省钱,16
想象,15
那么,15
问题,15
甚至,15
好好,15
后面,15
千玺,15
邻国,15
一次,15
不过,15
阿拉比,15
想要,15
应该,15
价格,15
周末,15
一代人,15
限定,15
欢迎,15
地铁,15
抽奖,15
最新,15
抽象,14
突然,14
不了,14
袋子,14
昨天,14
为了,14
这些,14
实现,14
最近,14
结婚,14
一张,14
不仅,14
牛马,14
喝杯,14
居然,14
只有,14
晚上,14
古茗,14
希望,14
浓郁,14
口感,14
之后,14
美食,14
杯套,14
设计,14
入口,14
黄人,14
事务,14
整个,13
虽然,13
遇到,13
而且,13
事情,13
只是,13
非常,13
库迪,13
完全,13
没想到,13
毛绒,13
电影,13
收集,13
手机,13
不到,13
一家,13
推荐,13
事物,13
豹豹,13
福利,13
咖啡因,12
排队,12
崩溃,12
里面,12
本来,12
容易,12
物料,12
流淌,12
以为,12
文字,12
焦虑,12
幸福,12
emo,12
深烘拿铁,12
瑞之抹,12
个人,12
超大,12
地方,12
代言人,12
朱迪,12
普通,12
以后,12
回到,12
工作日,12
广场,12
通知,12
航班,12
全天,12
阿克苏,11
第一次,11
不想,11
想到,11
备注,11
路上,11
下面,11
氛围,11
这才,11
婚礼,11
互动,11
一周,11
一口,11
适合,11
血液,11
方式,11
柠檬茶,11
咖啡师,11
获得,11
环境,11
圣诞,11
新店,11
开业,11
记得,11
疯狂,11
准备,11
减肥,11
点亮,11
时代,10
女性,10
拉满,10
那种,10
下班,10
程序,10
是因为,10
不好,10
只能,10
每个,10
刘亦菲,10
这波,10
打开方式,10
享受,10
计划,10
IP,10
口味,10
生活态度,10
一颗,10
过来,10
工时,10
第一天,10
或者,10
星巴克,10
配方,10
双杯,10
几天,10
两个,10
不错,10
退款,10
开学,10
城篇,10
当当,10
存钱,10
景德镇,10
教程,10
机会,10
性别,9
下来,9
到底,9
更是,9
宝宝,9
加上,9
一句,9
管理,9
所有,9
原来,9
做好,9
天天,9
压力,9
真是,9
接着,9
人生,9
感受,9
中午,9
公仔,9
单杯,9
如何,9
购买,9
职场,9
加糖,9
策略,9
瑞瑞,9
瑞门,9
确实,9
早上,9
接受,9
安慰,9
公司,9
线下,9
值得,9
专属,9
茉莉,9
芝士,9
蓝色,9
经典,9
买单,9
成为,9
一猫,9
哈哈,9
朋友,9
大学,9
高德置,9
连续,9
徽章,9
学校,9
早餐,9
宝子们,9
隐藏,9
风味,9
透卡,9
商场,9
美团,9
基本,9
参与,9
智勇,9
闪购,9
舒服,8
这是,8
另外,8
此刻,8
前面,8
发生,8
回应,8
成长,8
好多,8
多儿,8
嘉宾,8
结束,8
出现,8
当然,8
瞬间,8
得到,8
乳酸菌,8
下次,8
看着,8
啊啊啊,8
拿到,8
老公,8
方法,8
拿下,8
并且,8
小熊,8
包装,8
今年,8
老师,8
舒适,8
这杯,8
关于,8
通过,8
差不多,8
礼物,8
检查,8
差评,8
日子,8
地秋,8
珠江,8
新城,8
二楼,8
装修,8
附近,8
的话,8
随机,8
广东,8
忘记,8
预约,8
这家,8
一般,8
除了,8
周年,8
旅行,8
第二,8
社群,8
引流,8
社会,8
盒子,8
国航,8
wigglewiggle,8
而是,7
原产地,7
慢慢,7
内容,7
导致,7
一年,7
恋爱,7
有时候,7
发疯,7
心里,7
打包,7
视频,7
进去,7
肯定,7
明显,7
作为,7
出门,7
稳定,7
轻轻,7
刚好,7
香气,7
创意,7
期间,7
命里,7
是不是,7
现场,7
决定,7
告知,7
收到,7
安排,7
表情,7
巴拉,7
哈哈哈,7
半天,7
痛苦,7
睡觉,7
有种,7
丰富,7
补贴,7
积分,7
根本,7
喝完,7
睡不着,7
小狗,7
继续,7
好去处,7
简单,7
开启,7
带来,7
合适,7
部分,7
性价比,7
功能,7
以及,7
传播,7
姐妹,7
蜜雪,7
luckin,7
小瑞,7
周一,7
听说,7
周日,7
搭子,7
最美,7
一层,7
每周,7
放弃,7
深圳,7
中奖,7
草莓,7
锡林郭勒,7
一楼,7
果然,7
不用,7
旅游,7
铁道,7
抽到,7
无人机,7
Ultra,7
感谢,7
北京,7
离谱,7
任务,7
进入,7
补货,7
平台,7
兑换券,7
优惠,7
杯型,7
任意,7
善意,7
掉落,7
赋予,6
叙事,6
乖乖,6
性格,6
追求,6
精准,6
愿意,6
说话,6
女子,6
还要,6
声音,6
旁边,6
别说,6
上来,6
放在,6
广告,6
不少,6
美好,6
官宣,6
合照,6
同时,6
话题,6
就要,6
艺术,6
来说,6
每次,6
身体,6
美味,6
lucky,6
我会,6
人们,6
主包,6
满脑子,6
卡比,6
玩偶,6
尝试,6
心理,6
搞笑,6
上线,6
plog,6
其他,6
冰城,6
标准,6
谢谢,6
亲爱,6
面具,6
酸角,6
水豚,6
疯感,6
沉浸,6
醇厚,6
早晨,6
其中,6
耐受,6
爱好者,6
难受,6
要求,6
理解,6
关键,6
在握,6
提供,6
霸王,6
茶姬,6
注意,6
主打,6
色彩,6
交换,6
完成,6
一场,6
网友,6
图片,6
合作,6
找到,6
理财,6
人群,6
冰茶,6
指定,6
场景,6
破烂,6
值班,6
随便,6
coffee,6
一套,6
挑战,6
培训,6
号线,6
明天,6
试试,6
相关,6
最佳,6
大厦,6
旗舰店,6
陈家祠,6
遗憾,6
爱喝,6
周五,6
深圳大学,6
校区,6
大概,6
刺绣,6
清爽,6
凌晨,6
攒钱,6
星穹,6
立牌,6
成本,6
501KM,6
华为,6
整理,6
中关村,6
截图,6
系统,6
三宝,6
陶瓷,6
一边,6
吧唧,6
杨枝,6
甘露,6
一份,6
官方,6
门槛,6
包子,6
甜品,6
题库,6
说法,6
好运,6
改造,6
领取,6
金卡,6
淮安,6
宵夜,6
限时,6
翻车,5
视角,5
明白,5
长安,5
无法,5
怎样,5
好吃,5
才能,5
脑袋,5
角色,5
最大,5
流程,5
敏感,5
控制情绪,5
整点,5
冬天,5
时刻,5
为啥,5
怎么办,5
等等,5
自我,5
跟着,5
提醒,5
最好,5
流量,5
策划,5
有用,5
正常,5
新郎,5
各种,5
选择,5
专业,5
顺利,5
孩子,5
落地,5
投诉,5
一半,5
好玩,5
力量,5
总会,5
哈哈哈哈,5
不够,5
重新,5
频率,5
平时,5
捐款,5
半个,5
我要,5
手写,5
平静,5
仿佛,5
一段,5
制作,5
拒绝,5
变得,5
健康,5
位置,5
热饮,5
