词汇,频次
瑞幸,1422
咖啡,800
联名,195
价格,122
疯狂动物城,96
奶茶,84
消费者,82
9.9,76
新品,75
贝果,70
消费,69
外卖,67
卡皮巴拉,61
美式,60
草莓,58
好喝,54
客服,54
饮品,53
星巴克,53
深烘,52
这么,51
套餐,50
周边,47
门店,47
店员,45
发现,43
品牌,42
下单,41
推荐,41
鬼灭之刃,41
有点,40
为什么,40
结果,40
之前,39
还有,39
续命,39
味道,38
这样,38
退款,37
巴西,37
金奖,37
生椰拿铁,36
知道,36
免费,36
程序,35
订单,35
便宜,34
手机,34
点单,33
大家,33
优惠,33
主题,33
喜欢,32
原价,32
觉得,32
活动,32
一直,31
省钱,31
已经,30
一样,30
疯狂,30
可能,30
平台,30
每天,29
一起,29
惊喜,29
营销,29
不会,28
攻略,28
顾客,28
黄油,27
那么,27
分享,27
涨价,27
问题,27
需要,27
一点,27
美团,27
以为,26
不要,26
台灣,26
挂件,25
羊毛,25
生活,25
为了,24
优惠券,24
日常,23
两杯,23
测评,23
冰块,23
桑巴,23
口感,23
不用,23
电话,23
自由,23
元购,23
现金,23
杀熟,22
冰茶,22
而且,22
划算,22
多少,22
起来,21
闪购,21
联动,21
权益,21
别人,21
商家,21
另外,20
茉莉,20
看到,20
改造,20
投诉,20
市場,20
普通,19
系列,19
用户,19
支付,19
显示,19
吧唧,19
备注,19
呜呜,19
只能,19
双杯,18
体验,18
这种,18
东西,18
巧克力,18
其实,18
最近,18
或者,18
中國,18
完全,17
同事,17
pp,17
其他,17
的话,17
一次,17
加盟,17
成功,17
牛马,17
千玺,17
同款,17
原来,17
好像,17
可爱,17
只有,17
店里,17
使用,17
事情,17
当时,17
告知,17
突然,16
这次,16
加糖,16
情况,16
做好,16
性价比,16
不到,16
拿下,16
不同,16
居然,16
自动,16
应该,16
市场,16
最后,16
配送费,16
蔓越莓,16
两个,16
阿拉比,16
红包,16
才能,15
变成,15
每次,15
建议,15
不过,15
咖啡豆,15
店长,15
还要,15
热量,15
库迪,15
维护,15
一张,15
早上,15
9.9元,15
产品,15
纸袋,15
深烘拿铁,15
比如,15
接受,15
工作日,15
购买,15
拒绝,15
香港,15
任何,15
请问,15
微信,15
盒子,15
单点,15
咖啡店,14
里面,14
只要,14
徽章,14
甜度,14
注意,14
果然,14
之后,14
系统,14
红茶,14
冰箱,14
虽然,14
光大,14
实现,14
APP,14
鬼灭,14
联系,14
面包,14
美国,14
晚上,14
取消,14
京东,13
有没有,13
费用,13
想要,13
这些,13
欢迎,13
是不是,13
搭配,13
淘宝,13
回到,13
教程,13
方式,13
杯套,13
左右,13
冲着,13
策略,13
门槛,13
来说,13
爱喝,13
真是,13
小时,13
完成,13
吸管,13
打电话,13
工作,13
菜单,12
尼克,12
第一次,12
记得,12
特别,12
茉莉花,12
人工,12
无法,12
解决,12
图片,12
只是,12
网友,12
一种,12
根本,12
选择,12
中国,12
算下来,12
看看,12
收到,12
下午茶,12
自取,12
一年,12
一个月,12
提前,12
试试,12
朋友,11
好多,11
一般,11
官方,11
这杯,11
有人,11
一看,11
一定,11
大概,11
进去,11
降价,11
避雷,11
不行,11
信用卡,11
低价,11
健康,11
一代人,11
数据,11
越来越,11
爱好者,11
恶心,11
一些,11
血液,11
告诉,11
隐藏,11
补货,11
爷爷,11
掉落,11
套路,11
过期,11
后来,10
很多,10
不错,10
果肉,10
少少,10
总结,10
luckin,10
三杯,10
付款,10
喝完,10
嘴里,10
口味,10
金额,10
成本,10
要求,10
希望,10
脑袋,10
作为,10
处理,10
理解,10
离谱,10
这才,10
是否,10
服务,10
获得,10
刘亦菲,10
日记,10
一点点,10
包邮,10
生椰,10
不少,10
机会,10
原因,10
流淌,10
本来,10
没想到,10
下午,10
后面,10
电影,10
超商,10
制作,10
膨胀,10
欺骗,10
同意,10
所有人,9
昨天,9
多肉,9
9块9,9
震惊,9
一款,9
朱迪,9
入口,9
几天,9
块钱,9
加盟费,9
实际,9
清爽,9
真实,9
风味,9
八杯,9
周一,9
简单,9
最低,9
麦当劳,9
最大,9
半杯,9
哪个,9
折扣,9
浓郁,9
香拿铁,9
这是,9
终于,9
难看,9
个人,9
上午,9
几个,9
组合,9
大战,9
记录,9
环境,9
过去,9
配送,9
想象,9
甜品,9
丝绒拿铁,9
不好,9
哈哈哈哈,9
私域,9
卡券,9
保温杯,9
沟通,9
丑萌,9
命里,9
账单,9
男性,9
统一,8
上面,8
具体,8
清新,8
规则,8
差不多,8
出来,8
适合,8
万元,8
根据,8
...,8
创业,8
就算,8
经典,8
关键,8
轻轻,8
管理,8
喝杯,8
以后,8
明明,8
app,8
操作,8
意思,8
逻辑,8
客户,8
如何,8
标准,8
真正,8
核心,8
正确,8
打开方式,8
蘑菇,8
分析,8
一套,8
准备,8
上班,8
立马,8
解释,8
大学生,8
并且,8
每个,8
回复,8
蜜雪,8
公司,8
纽约,8
所有,8
抖音,8
蛋糕,8
种草,8
还好,8
经常,8
遇到,8
实物,8
致命,8
成熟,8
商品,8
公仔,8
喝一杯,8
差评,8
如图,8
两天,7
一家,7
店铺,7
啊啊啊,7
金属,7
茉莉花茶,7
兑换,7
天天,7
几杯,7
本人,7
至少,7
考虑,7
评论,7
姐妹,7
一口,7
鲜萃,7
椰香,7
额外,7
下架,7
反正,7
看着,7
亲测,7
重点,7
效率,7
关于,7
补贴,7
深度,7
运营,7
很大,7
整个,7
为啥,7
饮料,7
团购,7
得到,7
拍照,7
袋子,7
豆子,7
偷偷,7
新加坡,7
纠结,7
而是,7
钱包,7
位置,7
第一,7
古茗,7
超级,7
导致,7
肯定,7
到底,7
算是,7
中午,7
就要,7
崩坏,7
中奖,7
方案,7
下周,7
余额,7
确实,7
几乎,7
燕麦,7
相关,7
不了,7
非常,7
界面,7
信息,7
元贝果,7
家里,7
到手,7
好好,7
生日,7
兔子,7
即享,7
咖啡杯,7
特意,7
学生,7
我点,7
反馈,7
次数,7
年度,7
基本,6
葡萄,6
没什么,6
开心,6
竟然,6
浓缩,6
除了,6
想着,6
支付宝,6
人员,6
工资,6
福利,6
帮助,6
条件,6
低卡,6
轻乳茶,6
不腻,6
一周,6
伯牙,6
醇厚,6
全新,6
简直,6
享受,6
星人,6
预存,6
排队,6
半天,6
编号,6
贴纸,6
旁边,6
而已,6
世界,6
计算,6
苹果,6
步骤,6
每周,6
场景,6
随机,6
买单,6
满意,6
态度,6
最终,6
进行,6
行业,6
长期,6
可是,6
玩偶,6
椰拿铁,6
影帝,6
地方,6
好吃,6
三个,6
刚刚,6
生活态度,6
各种,6
隔壁,6
韭菜,6
无语,6
单杯,6
效果,6
尝试,6
对于,6
小卡,6
立牌,6
傻子,6
认为,6
反而,6
申请,6
方法,6
营收,6
这家,6
即使,6
不划算,6
设计,6
合作,6
第一杯,6
国内,6
区别,6
线下,6
号码,6
我要,6
那些,6
回归,6
宣传,6
渠道,6
平价,6
包子,6
连续,6
全网,6
夏日,6
会员,6
赶紧,6
不算,6
难道,6
回来,6
挑戰,6
便利商店,6
億台幣,6
營收,6
價格,6
競爭,6
快速,6
數位,6
没用,6
单买,6
PP,6
数量,6
闲鱼,6
小票,6
微甜,6
拼配,6
吱声,6
广州,6
好看,6
一单,6
生物,6
扶额,6
两盒,6
接着,6
瑞之抹,6
说话,6
愿意,6
找到,6
包装,6
礼物,6
男朋友,6
一句,6
内胆,6
键盘,6
必要,6
起送价,6
被迫,6
怀疑,6
心态,6
好饭,6
标价,6
元起,6
送价,6
凑满减,6
分钟,6
更换,6
来电,6
一问,5
打包,5
茶底,5
果汁,5
属于,5
短萃,5
类似,5
继续,5
保持,5
不如,5
那种,5
比例,5
租金,5
单价,5
之间,5
设备,5
需求,5
按照,5
一笔,5
收藏,5
霸王,5
刚好,5
不仅,5
寡淡,5
不难,5
惊艳,5
宝子,5
拿到,5
加上,5
有时候,5
无助,5
不起,5
取餐,5
办法,5
没法,5
省出,5
一顿,5
早餐,5
阳光,5
单月,5
二编,5
没买,5
高度,5
功能,5
模式,5
线上,5
巨大,5
成为,5
挑战,5
超越,5
限定,5
参考,5
单独,5
灵感,5
听说,5
动物,5
要么,5
焦糖,5
全套,5
大风,5
刮来,5
要是,5
T恤,5
手工,5
打卡,5
放在,5
过来,5
下去,5
放弃,5
正品,5
同时,5
张券,5
推出,5
全部,5
差价,5
附近,5
完整,5
双十,5
鸡肉,5
芝士,5
像是,5
美食,5
南京,5
记者,5
回答,5
力度,5
表示,5
冰城,5
大部分,5
激烈,5
今年,5
毕竟,5
接近,5
奇亚籽,5
一年四季,5
以上,5
吓一跳,5
色纸,5
白厄,5
遐蝶,5
星穹,5
好不好,5
市场营销,5
作业,5
上线,5
骑手,5
给我发,5
人均,5
出门,5
习惯,5
配方,5
开心果,5
充值,5
大城市,5
手慢,5
商战,5
关注,5
发疯,5
心情,5
点击,5
快乐,5
回应,5
视频,5
不让,5
没点,5
送到,5
多钱,5
外送,5
空白,5
能力,5
受益者,5
自提,5
人们,5
买个,5
喜茶,5
哪里,5
兼职,5
颜值,5
卡季,5
赠品,5
选项,5
一喝,5
哈哈哈,5
精神状态,5
毛绒,5
谢谢,5
免单,5
生气,5
基本上,5
这件,5
多喝水,5
一颗,5
杯盖,5
文案,5
爆单,5
广告,5
部分,5
手气,5
提供,5
广场,5
葫芦,5
抽奖,5
欺负,5
购点,5
比闪购,5
打工,5
提车,5
当日,5
开发票,5
仪式,5
蟑螂,5
选一,4
十几块,4
嘿嘿,4
感受,4
这款,4
nfc,4
简简单单,4
舍不得,4
样子,4
有效期,4
利润,4
调整,4
牛奶,4
初期,4
支出,4
咖啡机,4
装修,4
开业,4
促销,4
留言,4
安利,4
友好,4
茶姬,4
绝弦,4
负担,4
椰子,4
层次,4
明显,4
纯粹,4
顺滑,4
基础,4
一半,4
上市,4
感谢,4
丰富,4
好人,4
礼盒,4
叠加,4
手把手,4
流程,4
这波,4
必须,4
云闪付,4
自营,4
合理,4
犹豫,4
不管,4
这套,4
存在,4
增长,4
资本,4
创新,4
质量,4
证明,4
爆款,4
社交,4
精准,4
正在,4
本质,4
无限,4
照片,4
四款,4
值得,4
成长,4
首先,4
其次,4
拉满,4
麦芬,4
第二,4
说实话,4
所谓,4
相太,4
别家,4
从来,4
不去,4
没人,4
有钱,4
保证,4
玩法,4
库存,4
进店,4
邀请,4
裂变,4
进群,4
专属,4
几款,4
以前,4
典藏,4
侵犯,4
保护,4
宝子们,4
前两天,4
沙拉酱,4
烟熏,4
朱先生,4
吐槽,4
经过,4
由于,4
西瓜,4
做法,4
收集,4
截图,4
误导,4
顶不住,4
试过,4
每日,4
超过,4
甘露,4
幸运,4
定位,4
达到,4
吐司,4
大福,4
支持,4
来看,4
烘焙,4
陨石,4
重度,4
太高,4
300g,4
不够,4
影响,4
独特,4
总部,4
冬天,4
稳定,4
铁道,4
抽象,4
喝过,4
PPT,4
职场,4
提升,4
哪款,4
丝绒,4
果茶,4
觉醒,4
熬夜,4
整理,4
最佳,4
日子,4
眼睛,4
午饭,4
晚饭,4
三块,4
人生,4
答案,4
白梨,4
现金支付,4
在线,4
账户,4
再也,4
缺货,4
九块九,4
闺蜜,4
卡皮,4
肯德基,4
浪费,4
抢手,4
时代,4
多次,4
还会,4
主打,4
part,4
II,4
鐵壁,4
全面,4
問題,4
數據,4
家門市,4
TWD,4
步行,4
數位化,4
優勢,4
生態,4
超級,4
App,4
整合,4
沒有,4
消費者,4
事件,4
前面,4
ai,4
那杯,4
再点,4
两份,4
认真,4
几次,4
椰青冰萃,4
类卡券,4
来源,4
小熊,4
入手,4
海鲜,4
不想,4
探店,4
跟着,4
提醒,4
刷到,4
一边,4
今日,4
巴拉,4
瑞瑞,4
友友,4
伙伴,4
领取,4
三号,4
人家,4
维权,4
单位,4
说明,4
喝水,4
透明,4
触发,4
互动,4
很难,4
抽到,4
瞬间,4
两人,4
仅供参考,4
一大早,4
掉秤,4
明天,4
狐狸,4
次卡,4
零食,4
瑞子,4
兑换券,4
coffee,4
封神,4
解暑,4
全款,4
小鹏,4
标签,4
越领,4
起因,4
欺诈,4
出现,4
数字,4
小姑娘,4
解冻,4
入职,4
出于,4
致电,4
非正常,4
退货,4
固定,3
天塌,3
背刺,3
冰萃,3
直到,3
难不成,3
宠儿,3
等级,3
警官,3
亚克力,3
整杯,3
酸甜,3
清香,3
随意,3
只想,3
退钱,3
慢慢,3
价格表,3
一眼,3
下次,3
柠檬茶,3
收取,3
当然,3
原材料,3
万至,3
确定,3
为例,3
每月,3
别忘了,3
联营,3
集合,3
茶香,3
香气,3
奶味,3
整体,3
闭眼,3
Tip,3
千万别,3
牛乳,3
少甜,3
珍珠,3
卖不出去,3
下面,3
情绪,3
默默,3
开通,3
选好,3
结算,3
图标,3
立减,3
给出,3
目前,3
再次,3
对比,3
通过,3
烧钱,3
互联网,3
实体,3
商业,3
