词汇,频次
瑞幸,8160
咖啡,4137
联名,1493
新品,1147
大家,686
美式,683
纸袋,667
一起,633
周边,607
一杯,455
限定,448
风味,404
圣诞,376
门店,374
系列,358
口感,334
茉莉,323
一口,299
小狗,299
黄油,294
luckin,285
瑞纳冰,283
品牌,275
小瑞,275
线条,264
幸运,260
主题,259
饮品,258
芝士,251
快乐,241
夏日,240
上线,237
活动,236
改造,230
打卡,221
回归,220
感谢,219
壁纸,213
生椰拿铁,212
椰拿铁,209
乳拿铁,204
七夕,204
下午茶,203
喜欢,195
可爱,195
获得,192
丝绒,192
套餐,190
葡萄,190
好喝,189
种草,187
luckincoffee,186
杯套,184
搭配,184
荔枝,183
柠檬茶,182
欢迎,176
经典,172
千玺,169
全国,169
夏天,168
贴纸,167
冰萃,164
推荐,162
春日,161
浓郁,156
新年,155
奶油,153
清爽,152
小熊,152
看看,151
lucky,151
DIY,150
coffee,149
攻略,148
时间,147
椰子,145
教程,145
杨梅,144
樱花,144
参与,143
轻乳茶,142
蛋糕,141
陨石,140
味道,138
咖啡豆,136
大福,136
小鹿,135
猫和老鼠,134
包装,133
手机,133
原产地,132
指定,132
上市,131
任意,130
苹果,130
奶茶,129
表情,129
同款,128
草莓,127
热饮,126
鲜萃,126
生椰,124
点击,123
生酪,123
酱香,123
巧克力,122
特别,122
瑞门,117
中国,117
SOE,117
随机,116
日常,116
清新,115
西瓜,115
甜品,115
惊喜,114
官方,114
这次,114
升级,113
小伙伴,113
开启,111
产品,111
杯子,110
冬天,109
即将,109
秋天,109
长安,108
准备,107
今年,107
还是,106
手工,105
春天,105
代言,103
人们,102
樱花季,102
diy,101
宝宝,101
年度,100
第一杯,100
疯狂,99
甘露,99
不要,99
王者,99
海盐,99
解锁,98
知道,98
回来,97
时候,97
气泡,97
全球,96
已经,96
一定,96
邻国,96
一下,96
明天,95
杨枝,95
清甜,94
下午,94
注意,94
云南,94
登陆,94
支持,93
太妃,93
世界,91
分享,91
徽章,91
半熟,91
朋友,90
点单,90
最后,90
人气,90
打工,90
带来,89
使用,89
海绵,89
动物,88
礼盒,88
燕麦,88
万店,88
玫瑰,87
刘亦菲,86
选择,86
果肉,86
抽奖,86
礼物,85
真实,85
桂花,85
浓缩,85
测评,84
需要,83
安排,83
提拉,83
米苏,83
茉莉花,82
添加,82
陆续,81
一样,81
上午,80
get,80
正式,80
来自,80
想要,80
冰镇,80
原创,79
成都,79
开始,79
电影,78
告诉,78
细腻,78
亿杯,78
终于,77
芒果,76
上海,75
果蔬,75
限时,75
规则,75
周周,75
机会,74
一款,74
正确,74
首席,73
看到,73
荣耀,73
授权,72
冰茶,72
吸管,72
小黑,72
适合,71
试试,71
倒计时,71
感受,70
听说,70
口味,70
香气,70
期待,70
超级,70
艾特,70
健康,70
金奖,69
方式,69
当然,69
不同,69
中奖,69
咖季,69
没错,68
两款,68
轻盈,68
丰富,67
入口,67
所有,66
城市,66
假期,66
情人节,66
澳网,66
谷爱凌,66
即日起,65
超大,65
设计,65
里面,65
图片,65
融合,65
酸奶,65
巴西,64
加入,64
果汁,64
水果,64
青提,64
代言人,63
免费,63
现场,63
家族,63
这份,62
酸甜,62
双杯,62
各位,62
之刃,62
大赛,62
冰吸生,62
椰青冰萃,62
鬼灭,61
全新,61
热量,61
黑糖,61
烘焙,60
专属,60
红茶,60
香拿铁,60
源自,60
拒绝,60
赞萌露,60
春节,60
偷偷,59
浪漫,59
椰云,59
茅台,59
标准,58
治愈,58
布丁,58
不是,58
负担,58
神话,58
原神,58
鸳鸯,58
醇厚,57
博主,57
挑战,57
修狗,57
氛围,56
哪杯,56
别忘了,56
登场,56
耶加雪菲,56
颜值,56
乌龙,56
视频,56
摩卡,56
到底,55
重磅,55
拍照,55
购买,55
喝咖啡,55
在握,55
收藏,55
上班,55
冷萃,55
冰沙,55
费尔岛,55
LABUBU,55
知识,54
丝滑,54
成为,54
另外,54
满满,54
香厚,54
瓦尔登,54
焦糖,53
详细,53
如何,53
牛奶,53
体验,53
加糖,53
网友,53
发布,53
成员,53
早餐,53
Dirty,53
碧螺,53
dirty,53
本周,52
ta,52
联动,52
封神,52
独特,51
牛乳,51
北京,51
一次,51
轻食,51
