帖子链接,标题,正文,标签,发布时间,发布地点,点赞数,收藏数,评论数
https://www.xiaohongshu.com/explore/69299221000000001f00ec1f?xsec_token=ABB915WtnKureds6zQgvwVRgd67_pAHJ2sFqplIV5NGuU=&xsec_source=pc_user,两位代言人首次合体正片上线！金奖深烘上新,瑞幸巴西主题季开启，金奖深烘系列上新，25款咖啡可选深烘豆。 和luckin coffee瑞幸咖啡全球品牌代言人刘亦菲&易烊千玺 一起随着音乐的旋律舞动，感受更浓郁的咖啡味道，开启热情洋溢的巴西主题季！ ⏰瑞幸原创15分钟，高温慢烘曲线 ☕️焦糖甜感&黑巧浓醇，咖啡更浓郁,"瑞幸巴西主题季, 瑞幸金奖深烘上新, 刘亦菲代言瑞幸咖啡, 易烊千玺代言瑞幸咖啡",2025-06-05,北京,46000,2690,4163
https://www.xiaohongshu.com/explore/692c5dda000000000d00d403?xsec_token=ABmTGMo-gPfyb6qhUdS7oOSNQ_AwpZQyY1-BpFSlRUAZU=&xsec_source=pc_user,浓❗️这杯深烘，开启瑞幸巴西主题季☕️,🟫这一杯，重新定义深度烘焙🟫 让桑巴深烘系列，唤醒你对浓醇咖啡的记忆 	 🌎100%阿拉比卡咖啡豆🌎 严选自巴西等核心产地的阿拉比卡咖啡豆 带来纯粹、干净、浓郁的风味起点 	 〰️原创15min+高温慢烘曲线〰️ 通过超过15段精准温控⏰ 持续15分钟以上慢火深烘 充分激发豆芯焦糖化反应 	 ☕桑巴深烘拿铁&桑巴深烘美式双款上线，品味这杯的浓郁风情！ 还有25款产品支持更换深烘选项 	 烤椰拿铁🥥冬日温暖回归 浓郁焦香的椰子配上深烘咖啡液☕️ 让这一口香醇的热意，驱散冬天的寒意,"瑞幸巴西主题季, 瑞幸金奖深烘上新, 阿拉比卡皮巴拉, 瑞幸咖啡, 桑巴深烘拿铁, 桑巴深烘美式",2025-06-08,北京,2285,592,1753
https://www.xiaohongshu.com/explore/69302de3000000001f00d851?xsec_token=ABBXQJ2UOnRWAjHSv7CKzxwDUHv_gVmurnbh1EtuMhARo=&xsec_source=pc_user,《一颗深烘豆的一生》,一颗阿拉比卡咖啡豆 超过15段精准温度控制点位 达到 15min+高温慢烘焙 产生焦糖化和美拉德反应 才能呈现出这般醇厚回味的口感 	 25款咖啡支持深烘选项☑️ 让每杯都能尝到这份“浓”,"瑞幸咖啡, 瑞幸巴西主题季, 瑞幸金奖深烘上新, 瑞幸金奖深烘, 深烘, 科普, 咖啡知识",2025-06-08,北京,42,7,9
https://www.xiaohongshu.com/explore/692d3c13000000001f004e71?xsec_token=AB0mOUuygIoBZLRTeRSlIzMjzrCjeUq_mNaxI-wUX7jKg=&xsec_source=pc_user,AI：这题是不是有点难了,一组相似度很高的人机测试💻 请在5秒钟内选出所有的卡皮巴拉！,"瑞幸咖啡, 阿拉比卡皮巴拉, 人机验证, 瑞幸原产地, 知识以一种奇怪的方式入脑, 卡皮巴拉",2025-06-08,北京,508,40,81
https://www.xiaohongshu.com/explore/69306824000000001f00cb46?xsec_token=ABBXQJ2UOnRWAjHSv7CKzxwIbihfAgRGI_Tc-HVK8MiNA=&xsec_source=pc_user,冬天是很容易感知到幸福的季节♨️,白月光 终于回来了！ 浓郁丝滑，像是液体椰子糖🍬 这么冷的冬天🌬️躲进暖烘烘的热咖啡里 发呆、看书、呆在家里，让幸福触手可及 	 感谢博主@吃货欧尼酱 授权,"烤椰拿铁, 瑞幸咖啡, 冬天热饮, 瑞幸巴西主题季, 冬天该有的样子, 交换幸福10秒, 如果冬天有味道",2025-06-08,北京,586,45,83
https://www.xiaohongshu.com/explore/692fa004000000001e02d443?xsec_token=ABvArb-YosAnRC1SNKhAJBndtwUvAncOwVSotc5RxEO7k=&xsec_source=pc_user,真·独一无二！自带身份编号的咖啡豆,世界上没有两片相同的树叶🍃 也没有两颗相同的咖啡豆！ 独一无二的咖啡豆当然也有自己的身份证明 听说有人抽到了自己喜欢的数字、还有人开到了生日？ 让小瑞来看看大家的号码好吗？,"瑞幸咖啡, 瑞幸巴西主题季, 咖啡豆, 阿拉比卡皮巴拉, 交换幸福10秒, 万物皆可审美积累",2025-06-08,北京,715,88,384
https://www.xiaohongshu.com/explore/692eaf97000000001e034183?xsec_token=ABL5DHE87PnjUf1au3Q0yLJosI7oQj_MOFb-5gCMmMQxw=&xsec_source=pc_user,所以到底是阿拉比卡，还是卡皮巴拉？,瑞幸有自己的长难句测试！,"瑞幸巴西主题季, 阿拉比卡皮巴拉, 长难句, 瑞幸金奖深烘",2025-06-08,北京,542,91,168
https://www.xiaohongshu.com/explore/692e98e6000000001e0312b6?xsec_token=ABL5DHE87PnjUf1au3Q0yLJoWVwFSmGvT5_8O3f5i3maQ=&xsec_source=pc_user,大屏打卡！和两位代言人一起开启巴西主题季,多地线下大屏已点亮✨ 瑞幸巴西主题季开启，和两位代言人一起来杯金奖深烘 一起瑞幸，感受巴西阿拉比卡豆！,"瑞幸巴西主题季, 瑞幸金奖深烘上新, 瑞幸金奖深烘, 一起喝瑞幸金奖深烘",2025-06-07,北京,1167,82,370
https://www.xiaohongshu.com/explore/692d600f000000001e0369cc?xsec_token=AB0mOUuygIoBZLRTeRSlIzMn-znHdceOuXYWKJiaehYyM=&xsec_source=pc_user,看完这篇，让你搞懂什么是深烘！,"❓深烘究竟是什么 深烘是咖啡豆烘焙程度中最浓郁的阶段✨ 瑞幸原创15分钟+高温慢烘曲线⏱️ 充分产生美拉德反应和焦糖化反应🍯 构建出浓醇与甜感的风味基底🏗️ 	 🔍深烘和其他烘焙方式的区别是什么 深烘的独特之处在于""二爆后期出豆"" 这也是区别它与其他烘焙方式的重要标志 	 💥“爆” 到底是什么 ""爆"" 是指咖啡豆在高温烘焙过程中 内部气体压力冲破细胞壁产生的爆破💥 类似于爆米花的噼啪过程🍿","瑞幸巴西主题季, 瑞幸咖啡, 深烘, 瑞幸金奖深烘系列上新, 瑞幸金奖深烘, 咖啡知识, 桑巴深烘拿铁, 桑巴深烘美式",2025-06-06,北京,520,131,401
https://www.xiaohongshu.com/explore/692d19e5000000001f00aaf6?xsec_token=AB0mOUuygIoBZLRTeRSlIzMmRdx2X3aebLkADcLfgM2pw=&xsec_source=pc_user,惊喜盒子上线🎁一起喝瑞幸金奖深烘,巴西主题季开启，惊喜掉落中🔥 瑞幸巴西主题季开启，金奖深烘系列新品上市 @瑞幸咖啡 和@我是瑞幸lucky 联合送出 掉落🎁 	 🐾惊喜掉落时间🐾 2025年12月1日-2025年12月3日 	 🔑 惊喜触发攻略🔑 小红书站内搜索关键词🔍 咖啡系列上新 并浏览相关笔记➕互动，就有机会获得专属惊喜掉落！ 	 🎁礼物清单🎁 瑞幸咖啡29元免单券一张*200张  毛绒公仔*200份 阿拉比卡皮巴拉钥匙扣挂件*200份 巴西阿拉比卡季限定一颗咖啡豆挂件*100份,"惊喜盒子, 瑞幸金奖深烘, 瑞幸巴西主题季, 瑞幸, 瑞幸咖啡, 一起喝瑞幸金奖深烘, 瑞幸金奖深烘系列上新, 阿拉比卡皮巴拉",2025-06-05,北京,8322,2448,13000
https://www.xiaohongshu.com/explore/692d053e000000001f005bc3?xsec_token=AB0mOUuygIoBZLRTeRSlIzMnsYeByBlt5TxvSSYZNpUHI=&xsec_source=pc_user,仅用0秒就爱上了此款萌物！,如果你买了 那它就会毛茸茸的出现！  开启 浓烈热情的氛围感也传递到了周边包装 指定套餐，解锁自带身份编码的一颗咖啡豆☕ 快来🗯️分享下你的号码是多少？,"阿拉比卡皮巴拉, 瑞幸巴西主题季, 瑞幸咖啡, 瑞幸新品, 瑞幸金奖深烘上新, 卡皮巴拉",2025-06-08,北京,814,161,523
