帖子链接,标题,正文,标签,发布时间,发布地点,点赞数,收藏数,评论数
https://www.xiaohongshu.com/search_result/68c27127000000001c03c1c5?xsec_token=ABrJveZhdFuvdwibtqmakedNk3esKMI0PIOnbSC3-8O6w=&xsec_source=,瑞幸阿克苏文案翻车，输在性别视角缺失,"老实说第一次整体读下来很美，延续了瑞一贯的风格， 瑞幸这次给苹果赋予人的感情，就像在写一个童话故事。 立意也脱俗，大家都知道阿克苏冰糖心苹果甜，所以没有故意说一定给你惊喜，一定让你意外，而是顺水推舟，延续大家对苹果的认知，说它是意料之中的甜。 整个叙事逻辑就是在说明，为什么它是意料之中的甜，把它生长过程中的要素点明白了。 	 你看，整个逻辑都是很一致的，提出好物不怕晚，原产地慢慢生长的感觉。过去长安的荔枝一骑红尘，如今褚橙来的晚，碰巧是新年。内容上看都是美的。但为什么这次翻车了？ 	 乖乖结果的苹果，被爱护的苹果，没有性格的苹果。性别为女的苹果。给苹果赋予性别，就像几千年来人类一厢情愿给裙子赋予性别，给镜子，给化妆品，给丝绸，给水，给珠宝赋予性别一样，是很古老的做法。背后体现出的性别观念也是老旧的，和如今时代是脱轨的。 	 可以说这次文案过于追求文学美感，忽视了人文关怀缺失性别视角，也对当下的时代情绪把握不精准导致大翻车。（这年头谁还愿意做乖乖结果没有个性的需要人保护的娇妻啊）",女性脚下的世界,编辑于 09-11,,686,29,71
https://www.xiaohongshu.com/search_result/68c259c9000000001c0057a5?xsec_token=ABrJveZhdFuvdwibtqmakedK8KsUpWlHvxEjKEMRW256M=&xsec_source=,瑞幸：一年又一年，她乖乖结果,"写在开头： “这个联名文案 即使你无法感觉到不舒服 也请不要阻止别人清醒” ———— 把人类的性别赋予苹果这件事 苹果同意吗？她同意吗？ 苹果不能说话，但她能说话 	 这次联名文案，不难看出执笔人的视角是“天山” 说直接点是上位者的视角，难听点是俯视女性的视角 	 浅猜一下执笔人创作思路↓ “怎样更直观体现苹果的好吃？”执笔人想破了头，一些局限性让ta想不出，“到底要怎么写才能让消费者共情？” 	 终于，ta灵机一动，从自己的角度出发，挖到了一个“绝妙”的洞察——把物人化，“可是，那该用什么人？” 	 执笔人又一拍脑袋 赋予苹果“乖巧甜美”“最没有性格”的女性角色 这是ta的局限性带给ta的最大想象 	 那么多流程审核，就没有一个人提出这样写会有问题？ 是不敏感还是在试探谁的底线？ 	 苹果沉默，她不沉默 	  甚至不愿意带Tag，不想给这个联名增加热度 寄托于大数据，推给将要醒过来的人 -","女性, 清醒, girltalk",编辑于 09-13,,7805,173,894
https://www.xiaohongshu.com/search_result/6926f3cf000000001e0157b6?xsec_token=ABB4QjtdRn0EiobiE9g0aRHERvzEPsQiHbZLL_DRLaeKI=&xsec_source=,无标题,女子点咖啡因排队时间太长，怒怼店员初中毕业还攻击长相，店员一直让女子控制情绪反遭对方怒怼，“我是想插一杯而已，我为什么要控制情绪 我闷着我要生病”,,11月26日,江西,5161,270,2115
https://www.xiaohongshu.com/search_result/69251afd000000001e0371fb?xsec_token=ABpV5UnXXtOg6uJv1RrqUn0XEtOk1x582lUCv_zMXsl7I=&xsec_source=,其实跟瑞幸员工相处恋爱真的特别舒服,情绪价值拉满了。他们被顾客虐了一天还能对你脾气超好，你闹小情绪他们也不急，就用那种带点无奈又宠的眼神看你，特别让人安心。 省心到让人心疼。你给他们买奶茶咖啡更是不需要，四小时一杯的员工饮还能给你喝（bushi)其实都知道是帮你这个月省咖啡钱。 黏人但很克制。每天雷打不动发"醒了吗""吃了吗""下班了吗"三连，但你要真忙人家立刻缩回工作台前忙自己的。那种怕打扰你又忍不住想你的劲儿特别可爱。 时间观念特别强。因为要做整点半点养出了良好的习惯。还特别爱干净，你就没牵过洗的这么干净的手。 闻起来是咖啡味的，提神醒脑。 另外就是有空没空要帮他清理一下尸斑，然后就是冬天太冷，史体可能有点冻手吧，有时候气温太低会冻的硬一点，但是也好，冻的硬邦邦的还可以拿去防身，就像咸鱼战神一样可以当武器。 咖啡打工人员工,"瑞幸, 瑞幸咖啡, 瑞幸打工人, 瑞幸员工, 抽象, 畅所欲言贴, 发疯, 打工人, 前任复合",编辑于 11-25,浙江,273,28,201
https://www.xiaohongshu.com/search_result/654f93c300000000170364ae?xsec_token=ABNA4ELDm7P8_Cy_y73e9eT0QM0BhVnw0bS_X-I15EfMg=&xsec_source=,瑞的崩溃时刻,你有七八杯堆着没做，出餐区站了一群顾客等餐，此刻来了一个20杯的外送单，一看里面还有五杯巧克力，但你的巧克力预调液只够做两杯了，想到还要再做这玩意，你深深叹了口气。这时，你转身一不小心把桌上的椰浆碰翻了，哗啦啦洒了一地，身后突然传开噗呲噗呲的声音，奶箱又没奶了！你赶忙去加奶，这时整点铃声响了，该换消毒水毛巾消毒冰铲洗手啦。nnd，今天怎么诸事不顺，心里正烦躁，顾客说，（我的生椰拿铁去冰！忘备注了！）你问几号，他说他怎么知道。旁边的大哥又问你他的抖音券为啥用不了，你说抖音和小程序手机号需要一致，他大喊着我不会你来帮我！好好好，好好好，问要不要打包你说不要，我走了你又说帮我装起来，我给打包好的又让我帮你拿出来，说给我省个袋子。咖啡豆没了，我去拿咖啡豆，回来的路上听到新人惊呼“怎么办！太妃奶油上我全都淋的黑糖！”别说了，我一头扎进消毒水里，了此残生。,瑞幸打工,编辑于 2023-11-13,,1634,173,392
https://www.xiaohongshu.com/search_result/6927b758000000001e011235?xsec_token=ABaYXO-MWXOMF5C5HGVsJ6Fwd__2920PrcKjb04FG63r0=&xsec_source=,🍠宝宝昨天艾特我蹲蹲我的看法，好的我来了,"有🍠宝宝在视频下面艾特我 蹲蹲我的想法 丑话说前面 观点有点犀利和残酷 不喜欢请绕道 	 本来这段视频的标题我刷到过 但是透过标题我并不想点进去看 无非就是互骂起来了 看完都是负能量 但是友友让我看看 那我肯定好好看看 	 就光从这段视频看 但具体不清楚前面发生了什么 后面到底怎么收场的 	 双方情绪都很重 女顾客很着急 店里单子很多需要排队做 自己又很着急想赶紧插个队 让店员先给自己做 说话语气也比较重； 男店员也是因为太忙 再加上女顾客没好气 情绪也上来了 虽然后面回应女顾客的语言不是在吵架 但明显是在“怼” 这让女顾客情绪更激动 你一句我一句的 遇到这种情况 作为店员 就不要说话了 双方谁也没赢 赢的是看热闹的 	 给帽子叔叔打电话 其实也解决不了问题 毕竟没有肢体接触 没有打起来 	 像这样的人 他能把情绪这么极端的发泄到外面 本质是因为他生活的太不好了 可能遭遇了负债几百万、可能婚姻破裂、可能居无定所等等 为了这几块钱的咖啡才会打闹 这是他本能的受挫防御反应 用极端的嘶吼来安抚自己内心受挫的小心脏 	 对于店员 控制情绪是我们最先要学习的 做咖啡打扫卫生这些都不需要学 这些是熟能生巧的事 不想控制情绪也没关系 但最后吃亏的一定是我们自己 一时的口舌之快 可能换来一生的懊悔 视频的店员后面回应的每一句话 从语调上来听 都在“怼”顾客 我们的每一句“怼”都有可能是引来人身威胁的导火索 我们不知道谁今天出门带了dao 遇到情绪不稳定的顾客 我们的沉默不回应不是懦弱 是自我保护； 站在企业的角度 只会偏向对企业利益和形象有价值的方向 店员和顾客吵架 不管什么原因 都对企业形象有影响 甚至会更多的偏向顾客 因为他们是消费者 消费者不是上帝 但他们是消费者 我们作为店员 只能自己保护好自己啊宝宝们 活着不容易 每个人都很不容易","自我成长, 情绪管理, 控制情绪, 一线员工, 活着不容易",11月27日,北京,27,7,28
https://www.xiaohongshu.com/search_result/692cf831000000001f00a73c?xsec_token=ABgHzAqbQr_eApO0YrXI4s21CvO9HCnbrPg6ePUChf7V0=&xsec_source=,刘亦菲×易烊千玺同框，瑞幸这波太高奢了,". 	 刘亦菲和易烊千玺同框出现在瑞幸短片里，真的有被震到。 这种级别的组合，竟然是在巴西主题季里实现的。 	 片子一开场，两人跟着桑巴节奏轻轻摆动： 刘亦菲的仙、易烊千玺的稳，放在一起刚好互相衬着。 那种安定的高奢感，不是刻意营造，是自带的。 	 深烘的氛围又浓又热情，隔着屏幕都能联想到焦糖与黑巧的香气。 我喝着咖啡看短片，突然有点像被带去了巴西街头， 跟着节奏晃两下，心情都轻了。 	 瑞幸这季的情绪表达很准： 不吵不闹，却能让人放松下来， 像是在提醒你，生活可以慢一点。","刘亦菲, 易烊千玺, 颜值, 卡皮巴拉, 创意, 广告, 瑞幸, 神仙姐姐, 高奢, 明星不止AB面",6天前,江西,91,9,4
https://www.xiaohongshu.com/search_result/68c23943000000001b03cdf4?xsec_token=ABrJveZhdFuvdwibtqmakedAlaamG4uyWXl3z5_kQ8HSg=&xsec_source=,温顺乖巧是对食物的定义,"温顺乖巧是对食物的定义。或者说，是对食物链底层，下位者，被剥削者的定义:“你最好乖乖听话，甘愿奉献你的一切。” 	 而这恰好对应女性千百年间的地位，而瑞幸的描述恰好是“她”。 	 就像当年卡塔尔期间大量明星玩梗带头巾，而当地女性发声“你们用于玩笑的是我们的苦难。” 	 这不是敏感，是受害者才拥有的敏锐。",瑞幸,编辑于 09-11,,778,21,37
https://www.xiaohongshu.com/search_result/68ae93b2000000001c03d815?xsec_token=ABJMJqo1ft1LqYPHaZQ9NT6JJ-8dk-7iBIPRNzhgoxcns=&xsec_source=,好喜欢瑞幸这次的文案！,"随瑞幸真的情绪价值拉满！ No ex , No next , I ' m the best ! 不念旧人，不找新欢，老子就是天下第一好！","七夕饮玫瑰, 这才是联名的正确打开方式, 命里缺咖啡",8月27日,,8,3,1
https://www.xiaohongshu.com/search_result/68d802f000000000130095bf?xsec_token=ABZd2ZQuow-z5HsSrQBsw_W4Zx_wk-Zg-YACOn4tN01pc=&xsec_source=,瑞幸文案翻车后续:你绝对想不到人性骚操作,"瑞幸文案翻车背后，是“她叙事”对“他审视”的彻底决裂， 瑞幸用5亿市值，给所有品牌上了一课：靠“性别争议”博流量，如同在火山口跳舞——刺激，但容易引火烧身。 	 @薯管家@热点薯@薯队长","营销, 品牌文案策划, 品牌营销人, 内容营销, 品牌认识, 价值观, 信任, 平等对话, 女性成长",9月27日,,47,16,0
