帖子链接,标题,正文,标签,发布时间,发布地点,点赞数,收藏数,评论数
https://www.xiaohongshu.com/search_result/68c249dd000000001c00b801?xsec_token=ABL5961GkeY58rNlUe3STYbtfmWm2Dx0YNuZyulh4bITY=&xsec_source=,瑞幸9.9彻底没了？,之前每天一杯9.9，到后来固定款式9.9，这两天发现已经完全没有9.9了，基本都是12.1！天塌了，是彻底没有9.9了吗？咖啡券,"咖啡, 瑞幸, 瑞幸咖啡券",09-11,,173,43,544
https://www.xiaohongshu.com/search_result/692d30fb000000001e0393c1?xsec_token=ABrtNOJKnNM-U5xxfV4bgs8Virbjsnplg7v4NtVHvfh0Y=&xsec_source=,瑞幸怎么突然这么贵啦！！！怎么买才能便宜啊,瑞幸怎么背刺我，9.9也变成8选一了， 最喜欢的小黄油拿铁和葡萄冰萃美式都那么贵了！！！！ 还开了瑞王卡也没什么用,"瑞幸, 小黄油拿铁, 葡萄冰萃美式, 打工人",6天前,黑龙江,4,3,6
https://www.xiaohongshu.com/search_result/67ef96b2000000001201e1df?xsec_token=ABxav3yJ-VSnS4O9Hqvbi2bufmQjppWhfnP359ivPiWzU=&xsec_source=,无标题,瑞幸咖啡店内的菜单价格这么贵。用手机里面的小程序下单，价格便宜很多。 生椰拿铁店里面的价格是32，手机小程序里面的价格只要13.9元。# ​​​,瑞幸咖啡,04-04,,159,35,11
https://www.xiaohongshu.com/search_result/692833f8000000001e02794b?xsec_token=ABIu2LmNSlvVsJPDPltfIWrYM8112TDpuQxhtNpK2pvQs=&xsec_source=,一直以为所有人的瑞幸都是统一9.9😨,真的一直以为瑞幸所有人的价格都是一样的，直到昨天点了一杯多肉草莓咖然后一问发现朋友那里是十几块钱[呃R] 嘿嘿难不成我是瑞幸的宠儿吗～咖啡新品联名疯狂动物城2,"瑞幸, 瑞幸咖啡, 瑞幸新品, 瑞幸联名, 瑞幸疯狂动物城2, 价格, 9块9, 震惊, 日常, 咖啡",编辑于 11-27,云南,7,4,2
https://www.xiaohongshu.com/search_result/6874b694000000001502398f?xsec_token=ABCjptHsqpnS14qFNfdVGeBQaW_u7TtTheBsHIKQ_oIHY=&xsec_source=,瑞幸咖啡杀熟,瑞幸咖啡小程序真的是🐶嘞，同一家店铺，每次买咖啡都比同事贵好多，我和同事都是一样的等级，绿沙沙拿铁我17.5，同事9.9，啊啊啊，京东上面加个打包费也才8.9，喝的我都不开心了[发怒]杀熟,"瑞幸咖啡, 瑞幸咖啡杀熟",07-14,,9,收藏,11
https://www.xiaohongshu.com/search_result/691a74c60000000005010b37?xsec_token=ABYGUGb3nCKaAWWefExd5QfTt6gOfxfAegjUJgJt_AwMM=&xsec_source=,瑞幸新品：疯狂动物城联名款草莓,先说结论：疯狂草莓冰茶竟然还不错，可以给个87分，疯狂多肉草莓咖就挺一般了，如果只选一杯建议选草莓冰茶。 	 瑞幸这次与疯狂动物城联名，出了一款冰茶与一款果咖，双杯套餐可以送徽章（金属的有豹警官、尼克、朱迪；亚克力的有马市长、朱迪、尼克、树懒），小程序价格34.9。 	 具体感受如下： （1）疯狂草莓冰茶，选的不另外加糖，这款用的可重复使用的pp杯，茶底是茉莉花茶，含nfc草莓果汁与草莓果肉浆、速冻草莓果肉，官方号称一杯含14颗草莓，喝起来是比较清新的，整杯就是简简单单酸甜草莓味，茉莉花茶属于淡淡清香不会抢味道的茶底，这杯选不另外加糖的甜度就足够了。 	 （2）疯狂多肉草莓咖，选的少少甜，这款是短萃浓缩，跟其他果咖款类似，除了入口的时候有那么一丝焦糊咖啡味（说像烟灰缸泡水的味道也行），然后就跟草莓冰茶差不太多了，也是有nfc草莓果汁与冰冻草莓果肉的，继续保持舍不得放咖啡液的样子，这不如喝草莓冰茶。 	 总结：如果为了周边，那就两杯随意选吧，甜度都可以选不另外加糖为易，只想尝一杯的话，更推荐草莓冰茶，现在咖啡款是越做越倒退了… 新品,"瑞幸, 瑞幸新品, 奶茶分享, 奶茶测评, 奶茶推荐, 今天喝什么, 一起嚯奶茶, 疯狂动物城2",11-17,广东,445,66,122
https://www.xiaohongshu.com/search_result/692190a3000000001e00b323?xsec_token=AB-GBsOqlRSREQlVAw6fXqk276ccZB5erRTNEwWWDMdvI=&xsec_source=,瑞幸咖啡涨价了吗？,这几天下单瑞幸，发现拿铁、澳瑞白价格都涨上去了？这是要收割老客户了吗？,"瑞幸, luckin",11-22,四川,3,1,27
https://www.xiaohongshu.com/search_result/692c60be000000001e02e107?xsec_token=ABLRx0UietzBVsmRA_XmYpr5e1tq2UYKPcRbdOzKeYOlE=&xsec_source=,有没有人买我的瑞幸啊,好坑的瑞幸退款规则，10杯有效期还那么短，喝不完还按规则中的杯数计价退钱，醉了，我只喝了三次，还想着兑换后没有效期了慢慢喝，喝三杯失眠3⃣️夜，谁买不买我的啊，8⃣️块钱一杯20选一，我代下单，🈲️我再也不会囤瑞幸了❤️‍🩹❤️‍🩹❤️‍🩹❤️‍🩹❤️‍🩹❤️‍🩹❤️‍🩹❤️‍🩹❤️‍🩹❤️‍🩹,瑞幸咖啡,6天前,河南,5,收藏,19
https://www.xiaohongshu.com/search_result/681caa9f000000000303f7cb?xsec_token=ABlfuuc363MC5jivmmmteZdPWWXSgH1iMCUSuELM5D2RA=&xsec_source=,真的会有人在某幸按这个价格表点单吗？,小程序打开天天都是9.9 今天突然注意到，看了一眼价格单，惊到我了推荐一天可以喝几杯,"咖啡, 瑞幸, 菜单, 咖啡推荐, 咖啡一天可以喝几杯",编辑于 05-08,,1348,143,793
https://www.xiaohongshu.com/search_result/692bea45000000001d03a9b6?xsec_token=AB-Ek5Fy91rU62gkkyxK_X64wAg7QpVQbtN6WLfBgrUrw=&xsec_source=,瑞幸咖啡一杯这么多冰块🧊？,支付宝付款给了一个券，点了一杯生椰拿铁花了12块，刚开始喝还没注意，喝完一看好家伙这么多冰块。 这还是选的大杯，冰块都快给杯子装满了，冰块不要钱？ @瑞幸咖啡 下次能不放这么多冰块吗？,,编辑于 7天前,浙江,1,收藏,4
